gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSAPLG00000013129	333.420025833543	0.633068012287058	0.264516032974066	0.000129351620821504	0.0085210380216166
ENSAPLG00000013187	278.954721395685	3.57859681237991	0.442577757113888	6.47735612002377e-17	7.39606112971381e-14
ENSAPLG00000013222	314.48673348632	-1.0589683852408	0.364891994060517	4.06080252577466e-06	0.000496795680430039
ENSAPLG00000013226	3017.41081828016	2.71196327483875	0.307524222806179	3.32208170905199e-19	7.58652726290505e-16
ENSAPLG00000013335	28.7499125849056	-1.02574287332755	0.533850338057775	7.67979135427501e-05	0.00581372934454565
ENSAPLG00000013348	206.995532006683	3.48598143881328	0.529131190430391	5.04394646357205e-12	1.77210652420165e-09
ENSAPLG00000013566	256.257292841884	0.945372498066979	0.337458999863325	7.17590414802898e-06	0.000805936382264698
ENSAPLG00000013999	251.564460704046	1.96186706716301	0.517349880279789	1.7549491213616e-06	0.000242892049099967
ENSAPLG00000014022	40.4211496504879	1.21259537934229	0.711328842409276	0.000123147523012996	0.00835330376398055
ENSAPLG00000014057	496.593240950113	1.25090693860264	0.306969048879321	4.52383554365897e-08	8.49117734509797e-06
ENSAPLG00000014262	499.665313457985	1.79068581929248	0.286043773916556	3.57787435649336e-11	1.06573987897113e-08
ENSAPLG00000014266	594.842590478776	0.752471064489988	0.277217235904066	2.63622835284045e-05	0.00249114488900827
ENSAPLG00000014412	272.224404255685	0.621451750526001	0.438849295404358	0.000614188815311039	0.028919639681759
ENSAPLG00000014526	309.272934565774	0.843274160182625	0.378110982041118	5.22058324194996e-05	0.00428337913659871
ENSAPLG00000014563	16.4804198218528	-1.36127931082264	1.14492361130902	0.000392649872277212	0.0206926482690091
ENSAPLG00000014604	835.510744241136	3.20074475607153	0.469181040998661	1.45990500808619e-12	5.88341718258735e-10
ENSAPLG00000014622	132.478249585134	-1.14726970290318	0.884741877090728	0.00033525873858635	0.0185579877779322
ENSAPLG00000014881	305.6556901338	2.56304699927065	0.377735575571384	3.44976458674242e-12	1.31301873243179e-09
ENSAPLG00000014958	53.2882537663613	-0.663789273379625	0.398832900903982	0.000346400030706694	0.0189098534690961
ENSAPLG00000015016	19.5606905977209	-0.616455238219526	0.52483180990681	0.000907797384955984	0.0389926011556956
ENSAPLG00000015091	888.012201664282	2.88435616487883	0.42835383217357	3.77869183771313e-12	1.39934150163095e-09
ENSAPLG00000015111	60.2218324994164	1.3332247055177	0.55691947070263	2.24442225004403e-05	0.00218106905461726
ENSAPLG00000015276	229.819078073588	0.628850722202397	0.285242827501543	0.000183030908708226	0.0111959353175005
ENSAPLG00000015518	263.123841868969	3.09736457420521	1.25370654677837	2.01084068407511e-05	0.00199656080095632
ENSAPLG00000015723	8.16100596558816	1.2766141827375	1.68617592550669	0.00061400009969569	0.028919639681759
ENSAPLG00000015729	110.261462508253	-1.2545010633616	0.718549762102529	0.000111358700336778	0.0077694656873518
ENSAPLG00000015787	2340.41656758564	-0.673047534310066	0.136158732746233	1.63317891535116e-08	3.19683107116308e-06
ENSAPLG00000015955	348.609367648242	2.62394786380411	0.352887021654156	3.11221872759867e-14	2.03064861931224e-11
ENSAPLG00000015976	377.04731900474	7.25743364664395	0.824264916692547	1.85823598907124e-21	6.36538738056353e-18
ENSAPLG00000015989	174.318039669348	0.629894438997138	0.567159754681679	0.000970123991170355	0.040774966033792
ENSAPLG00000016019	7.7611520579638	1.57737181054378	1.94953567741564	0.000294082776585237	0.0166509182015327
ENSAPLG00000016029	428.226359468773	-0.671710314772237	0.221759363603919	2.46021924879654e-05	0.00234096695465348
ENSAPLG00000016046	446.272720793495	-1.93500686120099	0.657301108745433	1.17367295078968e-05	0.00125638021654064
ENSAPLG00000016221	255.076542943587	2.26538602152146	0.360749105379402	9.44161874381892e-11	2.58738120055614e-08
ENSAPLG00000016231	189.430559288145	0.627072709174859	0.349454823193177	0.000345510262772535	0.0189098534690961
ENSAPLG00000016336	284.27077608404	-0.953697387788193	0.430294557100457	3.95197558375458e-05	0.0034381969287454
ENSAPLG00000016802	41.9764865628138	0.810834310563767	0.605338571277989	0.000403502181226533	0.021102240027351
ENSAPLG00000016901	8.39784303414417	1.93153189021303	1.18963420167277	0.000136013071502742	0.00883246969540555
ENSAPLG00000017062	14.5618722840656	0.876371102237186	1.02455171051959	0.00115944024753292	0.0468738352864924
ENSAPLG00000017215	213.534492806065	3.17600366867209	0.475843994892892	4.12511214201264e-12	1.48742859394361e-09
ENSAPLG00000017228	34.3285987065439	0.900492823121405	0.85254965336806	0.000699156791093795	0.0319328211718906
ENSAPLG00000017490	274.580941776928	4.57702443581457	0.754417838800946	3.26022630641545e-11	9.92702685566767e-09
ENSAPLG00000017783	42.2572194987758	4.72702116378713	0.661730128385846	2.02103002642468e-14	1.38460767110355e-11
ENSAPLG00000018026	3.38934260826637	0.903906942562608	1.5552592714054	0.00102838201151892	0.042699667641916
ENSAPLG00000018116	913.272004701417	0.670856810704893	0.195651463318034	8.27789538361599e-06	0.000922144085742327
ENSAPLG00000018151	84.6646270698837	-1.73325599833275	0.893205098831504	7.84766594367406e-05	0.00590817136045176
ENSAPLG00000018379	24.1081623310909	0.740085056710586	0.653762999538158	0.000717431096152893	0.0324430392062275
ENSAPLG00000018446	805.69339784732	2.72958798439961	1.15055008439795	3.0160349798376e-05	0.00277353767072046
